loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,previous_defaults,credit_utilization_ratio,monthly_emi
975,0,Graduate,Yes,5000000,18400000,12,752,14600000,4000000,10500000,6500000,Approved,0,0.414,11064.61
976,0,Graduate,No,8000000,23700000,10,305,22200000,11600000,17200000,12000000,Rejected,0,0.7804,162916.94
977,4,Not Graduate,No,8200000,20700000,10,546,10800000,7000000,25000000,10600000,Rejected,1,0.6992,149185.52
978,2,Graduate,No,7000000,24200000,8,833,13700000,4100000,26100000,9100000,Approved,0,0.3691,38591.03
979,2,Not Graduate,No,2400000,8800000,18,421,3200000,1500000,6700000,1400000,Rejected,1,0.8686,32860.44
980,5,Graduate,No,6600000,18800000,4,639,3200000,1100000,25100000,4300000,Approved,0,0.2328,138662.16
981,3,Graduate,No,3200000,6900000,20,735,1500000,3700000,9200000,3100000,Approved,0,0.24,49414.0
982,0,Not Graduate,Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000,Rejected,2,0.5816,29991.25
983,3,Not Graduate,No,6900000,15600000,20,310,4500000,3600000,20400000,4800000,Rejected,0,0.93,64870.61
984,4,Graduate,No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,Approved,0,0.3289,85455.14
985,1,Not Graduate,Yes,300000,1200000,4,355,700000,300000,800000,200000,Approved,0,0.0833,8217.2
986,1,Not Graduate,Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000,Rejected,1,0.8678,84248.0
987,5,Not Graduate,No,700000,2400000,20,330,1300000,700000,2500000,500000,Rejected,1,0.6383,1526.06
988,5,Graduate,No,9400000,25800000,14,625,28200000,15400000,30800000,11100000,Approved,0,0.0775,126304.46
989,3,Not Graduate,Yes,800000,2900000,10,644,600000,500000,2900000,400000,Approved,0,0.2699,20785.9
990,5,Not Graduate,No,4400000,14900000,4,865,8200000,6200000,14900000,3500000,Approved,0,0.2169,12122.68
991,1,Graduate,Yes,4700000,14800000,6,661,8500000,6000000,13600000,6400000,Approved,0,0.4011,135558.38
992,2,Not Graduate,No,2300000,5000000,8,884,1400000,1700000,6100000,1500000,Approved,0,0.1316,63666.74
993,5,Graduate,Yes,8500000,26700000,10,803,500000,16600000,24400000,9600000,Approved,0,0.3806,19405.55
994,2,Graduate,No,7600000,28300000,12,800,19700000,14800000,15600000,7800000,Approved,0,0.2731,206906.62
995,2,Graduate,No,3200000,12600000,18,796,6200000,3500000,9600000,2000000,Approved,0,0.0718,33892.38
996,4,Not Graduate,No,2400000,5000000,4,716,1500000,2800000,6900000,1400000,Approved,0,0.4387,59129.64
997,0,Graduate,Yes,500000,1100000,18,479,1500000,500000,1800000,600000,Rejected,3,0.6576,6101.42
998,3,Not Graduate,Yes,8500000,28300000,2,810,25200000,4300000,18500000,10700000,Rejected,0,0.1664,109295.33
999,0,Graduate,Yes,8900000,20900000,18,568,18800000,700000,32700000,5300000,Approved,0,0.2378,164638.94
1000,0,Graduate,No,2800000,5600000,8,842,0,1300000,6100000,1900000,Approved,0,0.3931,63248.99
1001,3,Not Graduate,Yes,2900000,7000000,4,806,5700000,5600000,5900000,3000000,Approved,0,0.172,2858.0
1002,1,Graduate,Yes,4900000,17700000,8,722,9200000,7300000,16400000,3000000,Approved,0,0.1271,84771.88
1003,5,Not Graduate,No,9600000,20700000,14,442,25800000,9800000,31800000,8200000,Rejected,2,0.4274,52285.24
1004,3,Graduate,Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000,Rejected,1,0.5287,33297.64
1005,3,Not Graduate,No,2800000,5900000,4,461,1600000,400000,8900000,2800000,Rejected,2,0.818,28417.44
1006,2,Graduate,No,7800000,22200000,10,735,9700000,4600000,23000000,6900000,Approved,0,0.2387,106711.23
1007,4,Graduate,Yes,2500000,8400000,12,761,6300000,1300000,8400000,1600000,Approved,0,0.141,24364.11
1008,0,Graduate,No,4400000,10600000,20,653,6800000,4600000,16800000,5400000,Approved,0,0.1165,13778.01
1009,0,Not Graduate,No,7900000,30800000,4,726,5000000,14600000,23800000,5500000,Approved,0,0.1831,33555.29
1010,1,Graduate,No,8900000,22600000,18,617,8400000,15500000,27900000,11700000,Approved,0,0.426,8679.94
1011,0,Graduate,No,5600000,13400000,2,460,3400000,4100000,14800000,4100000,Rejected,0,0.5558,76807.35
1012,1,Not Graduate,No,1400000,3300000,8,306,3200000,800000,2700000,800000,Rejected,4,0.9429,38973.28
1013,5,Graduate,Yes,500000,1400000,4,471,500000,100000,1300000,300000,Rejected,3,0.6411,1686.93
1014,1,Graduate,Yes,5100000,15300000,4,628,6900000,3300000,17600000,2700000,Approved,0,0.1217,140756.84
1015,3,Graduate,No,9800000,25600000,10,404,24400000,6700000,37000000,11500000,Rejected,1,0.8847,209619.17
1016,2,Graduate,Yes,8600000,21600000,16,804,15400000,300000,26800000,7100000,Approved,0,0.2341,159905.95
1017,3,Not Graduate,No,1600000,3900000,20,804,900000,2500000,3200000,800000,Approved,0,0.3339,30112.96
1018,1,Not Graduate,Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000,Rejected,1,0.9402,60282.22
1019,0,Graduate,No,9500000,22600000,6,861,24700000,13200000,29000000,5600000,Approved,0,0.0701,29625.71
1020,2,Not Graduate,Yes,3000000,7800000,14,555,6600000,2700000,9600000,1700000,Approved,0,0.0887,44166.0
1021,0,Not Graduate,No,5100000,13600000,18,351,1700000,3700000,14400000,7600000,Rejected,1,0.7823,103692.31
1022,2,Not Graduate,Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000,Rejected,0,0.5191,130078.53
1023,5,Graduate,No,8800000,18800000,14,836,17300000,10100000,32700000,5400000,Approved,0,0.1237,213746.63
1024,4,Not Graduate,Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,Approved,1,0.0657,2318.72
1025,3,Graduate,No,8700000,30500000,2,443,11800000,1800000,24600000,8100000,Approved,0,0.0587,175265.39
1026,5,Not Graduate,No,6100000,23600000,4,725,17400000,5100000,15600000,4800000,Approved,0,0.3598,95012.43
1027,2,Not Graduate,Yes,1900000,7000000,14,818,4800000,3500000,4500000,2100000,Approved,0,0.1038,21011.83
1028,1,Not Graduate,No,9900000,38700000,6,670,19400000,12600000,35800000,6500000,Approved,0,0.2371,98254.4
1029,0,Graduate,No,5800000,21100000,6,414,7900000,2400000,16000000,5600000,Rejected,0,0.7135,105024.19
1030,2,Not Graduate,Yes,9500000,37000000,8,887,21800000,18300000,19200000,11700000,Approved,0,0.2213,246879.97
1031,3,Graduate,Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000,Rejected,0,0.3663,114327.2
1032,1,Not Graduate,Yes,1300000,4500000,14,679,2700000,2100000,3700000,1600000,Approved,0,0.3634,31270.75
1033,4,Graduate,Yes,700000,2600000,18,478,600000,600000,2100000,300000,Approved,0,0.3563,8210.69
1034,3,Graduate,No,600000,1200000,2,752,1100000,500000,2300000,700000,Approved,0,0.3548,1791.9
1035,0,Graduate,No,9400000,33000000,4,616,15400000,5000000,25100000,7800000,Approved,0,0.4073,16862.82
1036,2,Not Graduate,Yes,3800000,12500000,14,842,3700000,6700000,14600000,5300000,Approved,0,0.2231,5689.56
1037,3,Graduate,Yes,7800000,26300000,20,840,1200000,11300000,24100000,5300000,Approved,0,0.2642,86484.16
1038,3,Graduate,Yes,7800000,27700000,6,430,2000000,8000000,26100000,5300000,Rejected,1,0.6362,76721.59
1039,4,Not Graduate,No,2700000,7000000,4,351,1100000,2300000,8300000,2700000,Rejected,0,0.5835,56537.54
1040,5,Not Graduate,No,600000,2300000,4,347,0,0,1900000,200000,Rejected,0,0.8825,12999.38
1041,3,Not Graduate,Yes,8000000,28800000,10,576,18800000,7500000,16300000,11900000,Approved,0,0.4076,11865.93
1042,0,Not Graduate,Yes,4000000,11000000,8,799,4400000,6100000,14700000,4200000,Approved,0,0.1843,25797.71
1043,1,Not Graduate,Yes,3300000,10800000,2,550,6000000,3800000,11000000,4700000,Approved,0,0.296,26397.7
1044,2,Graduate,No,5800000,13300000,4,878,8400000,5400000,18600000,4500000,Approved,0,0.4208,92637.69
1045,3,Graduate,Yes,2400000,4800000,12,895,6800000,300000,7300000,3300000,Approved,0,0.4348,10116.07
1046,4,Not Graduate,No,7600000,29700000,6,603,3200000,2900000,27800000,11000000,Approved,0,0.2536,29690.3
1047,2,Not Graduate,Yes,2500000,6900000,12,325,5800000,1600000,6400000,3600000,Rejected,0,0.6217,68817.94
1048,2,Graduate,No,3300000,11800000,4,393,5700000,3700000,6800000,2600000,Approved,0,0.1615,77404.53
1049,3,Graduate,No,9800000,30300000,2,612,10700000,4600000,32100000,5600000,Approved,0,0.4335,51637.19
1050,0,Graduate,Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,Approved,0,0.1071,11858.23
1051,0,Not Graduate,Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000,Approved,2,0.6979,25930.77
1052,0,Graduate,No,1900000,6800000,4,782,100000,3400000,4900000,2400000,Approved,0,0.163,43834.81
1053,3,Graduate,No,3100000,8500000,12,493,8700000,5100000,12000000,2000000,Rejected,3,0.5174,46131.75
1054,5,Graduate,Yes,6000000,11900000,2,629,2500000,0,19200000,4200000,Approved,0,0.212,22373.7
1055,5,Not Graduate,No,6500000,21600000,10,419,1600000,10900000,22300000,6600000,Rejected,4,0.9493,140100.58
1056,2,Not Graduate,Yes,5900000,15800000,2,444,14300000,4300000,20300000,5500000,Rejected,0,0.383,68297.81
1057,5,Not Graduate,Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000,Rejected,2,0.6971,49846.06
1058,0,Graduate,Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000,Rejected,0,0.3995,41617.76
1059,3,Not Graduate,Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000,Rejected,1,0.4427,43553.7
1060,0,Graduate,No,4300000,16900000,18,469,200000,5800000,12000000,6200000,Rejected,1,0.6137,43032.4
1061,4,Not Graduate,Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000,Approved,0,0.2542,24694.55
1062,3,Not Graduate,No,300000,500000,2,477,700000,200000,800000,400000,Rejected,4,0.5053,3486.89
1063,3,Not Graduate,Yes,600000,1400000,16,509,600000,300000,2400000,900000,Rejected,2,0.5399,335.53
1064,0,Graduate,Yes,800000,1700000,4,752,2300000,1100000,3200000,400000,Approved,0,0.0848,18024.95
1065,0,Not Graduate,Yes,5600000,19100000,14,875,16700000,4700000,15100000,7700000,Approved,0,0.1713,27921.0
1066,2,Not Graduate,Yes,1800000,3600000,4,343,3400000,1100000,6200000,1500000,Rejected,1,0.9299,2304.99
1067,0,Graduate,No,6800000,20800000,20,819,16500000,11900000,26700000,8000000,Approved,0,0.4279,129650.24
1068,2,Graduate,Yes,4200000,16800000,2,433,3300000,0,14100000,3700000,Approved,0,0.184,94807.18
1069,1,Not Graduate,Yes,200000,400000,6,768,300000,100000,600000,0,Approved,0,0.2783,4747.34
1070,2,Graduate,Yes,8500000,31800000,6,714,17000000,900000,26600000,5600000,Approved,0,0.4138,122349.15
1071,2,Not Graduate,Yes,2800000,10100000,16,531,2900000,2900000,7200000,4100000,Rejected,0,0.3537,16771.74
1072,0,Graduate,Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000,Rejected,0,0.8364,77408.91
1073,1,Not Graduate,No,6200000,19500000,20,448,3300000,7100000,22400000,8000000,Rejected,0,0.919,126531.45
1074,1,Graduate,No,2700000,10000000,2,584,6500000,2700000,7700000,3400000,Approved,0,0.0865,19393.82
1075,1,Graduate,No,6800000,22900000,4,501,3900000,9400000,17300000,4400000,Approved,1,0.1146,179175.87
1076,2,Not Graduate,No,6300000,24500000,18,848,10200000,3500000,18200000,8200000,Approved,0,0.4343,19178.26
1077,4,Not Graduate,No,8800000,19100000,6,586,17600000,8800000,20600000,12400000,Approved,0,0.265,252223.31
1078,1,Graduate,No,5900000,13000000,2,386,16300000,5000000,12000000,3800000,Rejected,1,0.3585,148034.31
1079,5,Not Graduate,Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000,Rejected,0,0.5046,196624.36
1080,2,Graduate,No,3300000,8300000,6,653,4700000,3100000,8300000,4600000,Approved,0,0.23,90354.68
1081,4,Graduate,Yes,300000,500000,14,448,700000,100000,800000,100000,Rejected,2,0.7657,6320.22
1082,1,Not Graduate,Yes,4800000,11600000,16,696,1400000,9400000,11800000,6500000,Approved,0,0.3433,26663.98
1083,1,Graduate,No,7500000,28300000,16,707,9700000,1100000,16300000,6700000,Approved,0,0.4482,96721.66
1084,2,Not Graduate,No,8600000,21700000,4,429,5500000,10800000,30900000,6000000,Rejected,2,0.5225,17935.34
1085,4,Not Graduate,No,8900000,21100000,6,631,4200000,200000,25800000,6200000,Approved,0,0.2653,101148.57
1086,5,Not Graduate,Yes,9600000,29600000,4,446,22900000,3500000,36600000,13200000,Approved,0,0.2633,207648.85
1087,0,Graduate,Yes,7700000,18100000,18,705,6100000,5100000,23800000,6300000,Approved,0,0.2123,86788.74
1088,3,Not Graduate,Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000,Approved,0,0.1177,67435.06
1089,4,Not Graduate,Yes,7800000,19500000,14,739,1900000,9000000,20400000,4400000,Approved,1,0.441,135443.43
1090,3,Graduate,No,5100000,11000000,6,336,-100000,5800000,11600000,7500000,Rejected,0,0.862,129740.42
1091,4,Graduate,No,9400000,32600000,4,898,18200000,4000000,22000000,10200000,Approved,0,0.2493,13045.73
1092,4,Not Graduate,Yes,600000,2100000,6,558,1300000,1000000,2200000,300000,Approved,0,0.2913,6745.73
1093,3,Graduate,No,5100000,13300000,4,589,11200000,2700000,20200000,6100000,Approved,0,0.1409,23538.31
1094,2,Graduate,Yes,3800000,14400000,2,301,2300000,1400000,7600000,2400000,Approved,1,0.6763,77068.43
1095,2,Not Graduate,Yes,5300000,21200000,14,516,2200000,5000000,20900000,7700000,Rejected,0,0.767,16343.25
1096,5,Not Graduate,No,1100000,3600000,12,315,1300000,700000,3100000,1400000,Rejected,0,0.6591,21329.25
1097,3,Not Graduate,No,6400000,14400000,10,546,10600000,10000000,21200000,5100000,Rejected,0,0.9442,53420.43
1098,0,Not Graduate,Yes,5100000,14500000,14,559,11000000,1100000,12300000,6000000,Approved,0,0.2945,29588.88
1099,3,Graduate,Yes,5300000,16900000,2,350,15800000,3100000,14300000,6800000,Approved,0,0.1984,144744.5
1100,1,Graduate,No,6700000,18700000,8,583,9300000,4100000,17100000,6900000,Approved,0,0.3589,3620.01
1101,2,Not Graduate,No,4000000,9400000,8,874,4400000,3700000,10200000,4800000,Approved,0,0.1182,51074.02
1102,2,Not Graduate,Yes,3900000,11600000,8,808,5800000,3100000,12900000,5000000,Approved,0,0.2038,2460.07
1103,1,Graduate,Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000,Rejected,2,0.5582,22567.68
1104,3,Graduate,No,2700000,7800000,14,870,5400000,5300000,5700000,2100000,Approved,0,0.2227,39457.48
1105,3,Graduate,No,1400000,3800000,8,840,1700000,200000,5300000,1500000,Approved,1,0.3627,13134.55
1106,4,Not Graduate,Yes,8000000,19200000,18,682,2500000,8900000,19000000,5300000,Approved,0,0.2437,30837.75
1107,3,Graduate,Yes,8200000,28900000,10,668,23800000,4500000,28700000,10900000,Approved,0,0.3676,90019.35
1108,5,Graduate,Yes,4800000,10300000,8,781,4800000,6800000,11100000,4300000,Approved,0,0.2806,94116.81
1109,4,Graduate,No,8100000,19000000,6,375,4100000,14500000,19100000,11900000,Rejected,1,0.5552,184841.01
1110,4,Not Graduate,No,5900000,14900000,14,857,2600000,9500000,16000000,3500000,Approved,0,0.374,91333.33
1111,5,Graduate,Yes,8100000,32100000,6,823,18200000,1800000,24100000,6500000,Approved,0,0.1453,139348.38
1112,0,Graduate,No,1400000,5000000,8,686,1800000,1900000,3200000,1500000,Approved,0,0.1398,8191.84
1113,1,Graduate,No,1600000,6300000,2,721,3000000,600000,5200000,900000,Approved,0,0.2518,13408.75
1114,4,Graduate,No,4600000,9400000,18,545,800000,2400000,11500000,6300000,Rejected,1,0.5065,21720.99
1115,1,Not Graduate,No,2900000,8900000,6,523,900000,5600000,9700000,1800000,Rejected,1,0.3555,21086.23
1116,2,Graduate,Yes,8600000,24900000,20,607,13600000,7600000,31800000,5400000,Approved,0,0.3093,56409.1
1117,4,Not Graduate,No,3800000,14900000,20,428,6500000,3500000,12200000,2500000,Rejected,0,0.6567,57572.24
1118,0,Not Graduate,No,8200000,20300000,4,666,13100000,10200000,25900000,7800000,Approved,0,0.2282,134576.39
1119,3,Graduate,No,3200000,10100000,20,704,3400000,4800000,9000000,3900000,Approved,0,0.4368,88195.09
1120,0,Not Graduate,Yes,8100000,23800000,10,794,5400000,15500000,20700000,8800000,Approved,0,0.2785,46203.57
1121,1,Graduate,Yes,9800000,23300000,12,430,3200000,12600000,30500000,13900000,Rejected,2,0.8681,183412.31
1122,0,Not Graduate,No,200000,500000,20,615,500000,200000,600000,200000,Approved,0,0.1058,4767.35
1123,0,Not Graduate,No,6600000,14100000,20,360,6800000,5100000,25400000,7800000,Rejected,2,0.6915,107846.48
1124,0,Not Graduate,No,9100000,18300000,14,458,6100000,9200000,34100000,10000000,Rejected,2,0.8708,67682.22
1125,2,Not Graduate,No,5500000,20400000,12,887,8800000,9400000,12300000,3300000,Approved,0,0.2832,42117.43
1126,4,Not Graduate,No,7200000,27400000,8,735,14100000,14200000,19400000,9500000,Approved,0,0.3372,8243.14
1127,1,Not Graduate,No,2400000,5600000,16,379,3700000,600000,7200000,3400000,Rejected,0,0.5732,21381.1
1128,4,Graduate,No,9600000,25500000,20,544,4000000,11400000,23800000,11100000,Rejected,0,0.4055,208489.03
1129,1,Graduate,Yes,5800000,16700000,12,721,1100000,9700000,17200000,7500000,Approved,0,0.2332,8038.42
1130,4,Not Graduate,No,2300000,6000000,8,676,6000000,400000,4800000,2200000,Rejected,0,0.2078,14711.06
1131,1,Not Graduate,No,300000,1200000,4,342,800000,100000,1100000,200000,Rejected,0,0.3968,6179.53
1132,0,Not Graduate,No,9900000,27000000,16,566,3500000,17300000,36900000,11500000,Approved,0,0.1476,225990.64
1133,2,Not Graduate,No,3500000,14000000,2,355,8700000,1600000,11800000,2900000,Approved,0,0.4367,46480.42
1134,2,Graduate,No,4800000,18500000,20,605,5700000,5500000,14700000,5800000,Approved,0,0.4333,97730.41
1135,2,Not Graduate,No,1600000,5200000,16,525,300000,2900000,5600000,1600000,Rejected,1,0.4986,18104.43
1136,5,Graduate,Yes,800000,2500000,12,403,500000,0,3200000,800000,Rejected,0,0.5588,3731.31
1137,1,Graduate,Yes,9000000,33500000,18,727,18800000,10500000,28100000,5300000,Approved,0,0.4082,104514.24
1138,1,Graduate,No,8300000,28900000,12,529,18300000,3900000,32500000,5800000,Rejected,1,0.93,140400.54
1139,4,Graduate,No,2800000,6100000,18,415,2200000,4200000,8400000,2000000,Rejected,1,0.6161,77424.35
1140,1,Graduate,Yes,6400000,17300000,10,879,10000000,1100000,15400000,8200000,Approved,0,0.1784,12833.51
1141,2,Not Graduate,Yes,6000000,12600000,16,649,4800000,5300000,23900000,5100000,Approved,0,0.2604,88793.97
1142,0,Graduate,No,2900000,9800000,16,395,5400000,4300000,8600000,2400000,Rejected,0,0.7627,27821.13
1143,0,Graduate,No,6500000,24100000,20,488,3300000,6000000,22900000,9700000,Rejected,1,0.5141,96367.43
1144,1,Graduate,Yes,200000,400000,8,569,200000,200000,700000,300000,Approved,0,0.3446,139.86
1145,1,Not Graduate,No,8400000,24600000,14,817,1800000,13100000,31300000,8200000,Approved,0,0.0707,76691.21
1146,1,Graduate,Yes,6100000,17800000,20,706,16000000,10900000,16900000,4300000,Approved,0,0.0697,145868.21
1147,2,Graduate,Yes,8000000,31200000,8,553,6800000,3500000,21000000,10300000,Approved,0,0.2045,129253.07
1148,5,Not Graduate,Yes,900000,1800000,14,464,2300000,300000,1800000,700000,Rejected,1,0.5621,11827.79
1149,2,Graduate,No,7300000,20000000,6,729,13100000,10700000,17900000,9100000,Approved,0,0.1763,60793.05
1150,4,Not Graduate,Yes,3700000,7400000,12,363,4800000,6800000,10500000,4400000,Rejected,2,0.6446,32163.76
1151,2,Graduate,No,5200000,17200000,12,565,3500000,1300000,20000000,6300000,Approved,0,0.1783,58103.72
1152,1,Graduate,No,7200000,21000000,14,421,3500000,11600000,21800000,4600000,Rejected,2,0.4654,175469.85
1153,0,Not Graduate,Yes,9400000,34200000,10,512,13100000,15600000,32600000,6300000,Rejected,1,0.5357,265177.62
1154,3,Not Graduate,Yes,3400000,12400000,2,730,2500000,3900000,12200000,4600000,Approved,0,0.44,43499.99
1155,0,Graduate,No,600000,2300000,8,627,1800000,500000,2200000,300000,Approved,0,0.2144,6883.67
1156,0,Not Graduate,Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000,Rejected,2,0.6168,81480.51
1157,2,Graduate,Yes,5900000,14300000,2,410,11900000,4400000,16900000,4100000,Rejected,0,0.6959,73463.29
1158,3,Not Graduate,No,1300000,3600000,16,624,2400000,2300000,3300000,1900000,Approved,0,0.4433,20930.69
1159,4,Graduate,Yes,5700000,16900000,4,656,13000000,7400000,22000000,8400000,Approved,0,0.1466,38394.05
1160,2,Not Graduate,No,7700000,27300000,16,758,7300000,4600000,24800000,9100000,Approved,0,0.3225,166978.28
1161,4,Not Graduate,Yes,7000000,23500000,18,336,15000000,9500000,19700000,7800000,Rejected,2,0.7796,108614.28
1162,5,Graduate,No,8100000,21900000,18,378,5200000,3400000,16200000,9600000,Rejected,0,0.7144,191134.41
1163,1,Graduate,Yes,1900000,4200000,4,620,4700000,2800000,7500000,900000,Approved,0,0.0854,43265.61
1164,2,Graduate,No,4500000,9100000,18,593,-100000,600000,12400000,2500000,Approved,0,0.3207,28219.38
1165,0,Not Graduate,Yes,9600000,34000000,12,710,23800000,10300000,38100000,7800000,Approved,0,0.0756,200377.95
1166,1,Not Graduate,Yes,5400000,20700000,8,753,1900000,800000,19000000,3600000,Approved,0,0.2885,126008.57
1167,1,Not Graduate,Yes,7800000,27200000,16,454,16100000,3400000,17100000,11400000,Rejected,2,0.7937,78739.4
1168,1,Graduate,Yes,8200000,19100000,8,619,17200000,12200000,31500000,6600000,Approved,0,0.1344,41282.35
1169,2,Graduate,No,8900000,28500000,6,367,22200000,16600000,21500000,9300000,Rejected,0,0.855,683.26
1170,1,Graduate,No,1400000,3100000,20,384,200000,1200000,4200000,1800000,Rejected,0,0.3682,18411.9
1171,2,Graduate,No,1700000,5900000,16,610,3100000,300000,3700000,1300000,Approved,0,0.3875,17474.79
1172,0,Graduate,No,5300000,19500000,12,802,9800000,3300000,15200000,3200000,Approved,1,0.2341,85779.81
1173,3,Graduate,No,6500000,25200000,10,858,15400000,10900000,14000000,8100000,Approved,0,0.137,35649.46
1174,2,Graduate,No,5900000,14000000,8,599,4700000,9500000,17800000,6700000,Approved,0,0.1035,147934.11
1175,4,Graduate,Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000,Rejected,1,0.922,73675.03
1176,3,Graduate,Yes,7700000,16200000,6,380,11500000,15100000,22500000,6400000,Rejected,1,0.3936,50852.32
1177,1,Graduate,No,7900000,27100000,10,803,20000000,9800000,22200000,6600000,Approved,0,0.1296,110764.53
1178,4,Graduate,No,3500000,8900000,20,809,7100000,1500000,13700000,3200000,Approved,0,0.1891,50924.38
1179,4,Not Graduate,No,2400000,6600000,2,722,6100000,3300000,5600000,3000000,Approved,0,0.2981,15055.97
1180,5,Graduate,No,9900000,35700000,10,392,7900000,4300000,39200000,13000000,Rejected,1,0.6769,78499.78
1181,0,Graduate,No,3900000,14500000,8,545,5900000,3000000,10300000,3400000,Rejected,3,0.4254,19303.97
1182,2,Not Graduate,Yes,7300000,28500000,10,799,21500000,3100000,15800000,4300000,Approved,0,0.1659,152972.15
1183,0,Graduate,Yes,6400000,21900000,12,727,15400000,10100000,24000000,5300000,Approved,0,0.1455,143749.95
1184,4,Graduate,No,7100000,19800000,18,530,7100000,3400000,20900000,7100000,Rejected,3,0.4781,95740.53
1185,2,Not Graduate,No,8800000,19000000,14,637,13700000,13900000,27100000,6100000,Approved,0,0.2145,183282.34
1186,5,Graduate,No,7400000,21000000,4,561,21300000,3800000,26400000,3900000,Approved,0,0.3316,158839.39
1187,2,Not Graduate,No,4400000,12000000,20,421,9300000,2700000,15700000,3400000,Rejected,1,0.4805,17745.36
1188,3,Graduate,Yes,8600000,30300000,14,459,12000000,4100000,23800000,9100000,Rejected,0,0.57,242349.65
1189,3,Not Graduate,No,6900000,26000000,14,828,14800000,4200000,18500000,3600000,Approved,0,0.2064,165232.68
1190,4,Graduate,No,9600000,27500000,20,679,23400000,7500000,37800000,6300000,Approved,0,0.4406,57255.37
1191,2,Graduate,Yes,8100000,25700000,8,455,22300000,11500000,19800000,9500000,Rejected,0,0.9228,43981.49
1192,0,Not Graduate,No,2600000,9400000,18,879,2800000,1400000,5100000,2300000,Approved,0,0.3701,9529.3
1193,3,Graduate,Yes,9300000,26100000,14,636,4700000,16100000,34500000,11600000,Approved,0,0.1467,37535.19
1194,2,Not Graduate,Yes,2100000,5600000,16,426,400000,300000,7100000,1200000,Rejected,1,0.3908,45824.91
1195,4,Not Graduate,Yes,9000000,21500000,14,508,16600000,17300000,24300000,13100000,Rejected,0,0.5401,123284.24
1196,3,Not Graduate,Yes,7000000,19200000,4,768,8600000,13700000,19200000,7700000,Approved,0,0.1567,159849.06
1197,3,Not Graduate,No,2200000,6400000,20,667,6300000,3900000,8300000,2900000,Approved,1,0.2524,47884.69
1198,5,Graduate,Yes,7500000,28200000,2,440,8200000,5800000,24400000,6000000,Approved,0,0.3611,132259.03
1199,1,Graduate,Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000,Rejected,1,0.865,166157.92
1200,2,Not Graduate,No,300000,600000,2,383,600000,300000,1100000,400000,Rejected,0,0.8569,160.61
1201,0,Not Graduate,Yes,300000,800000,4,603,800000,200000,600000,200000,Approved,0,0.1939,2728.05
1202,3,Graduate,No,3900000,14900000,4,728,4700000,4000000,14900000,5500000,Approved,0,0.3249,72552.27
1203,0,Not Graduate,No,6600000,20300000,6,549,10800000,900000,23100000,9800000,Rejected,0,0.5377,1798.9
1204,0,Graduate,No,4100000,10700000,8,855,11500000,700000,11200000,3100000,Approved,0,0.0744,3943.49
1205,5,Graduate,Yes,1800000,5300000,12,461,2800000,2000000,4700000,2000000,Rejected,1,0.7709,44724.12
1206,3,Not Graduate,Yes,7000000,16100000,16,379,2000000,5200000,23000000,10000000,Rejected,2,0.3559,139655.08
1207,2,Not Graduate,Yes,5100000,13700000,6,559,7800000,9800000,12700000,5100000,Approved,0,0.2137,39473.75
1208,1,Not Graduate,Yes,300000,600000,8,816,600000,300000,1100000,200000,Approved,0,0.1818,6019.67
1209,4,Not Graduate,Yes,4300000,11400000,2,560,10000000,3900000,8900000,3300000,Approved,0,0.3274,99387.27
1210,0,Graduate,Yes,3200000,12000000,14,645,5200000,1400000,12100000,3400000,Approved,1,0.3565,28634.13
1211,4,Not Graduate,Yes,4200000,11500000,6,551,10600000,7600000,11300000,5000000,Approved,0,0.1716,4414.58
1212,0,Not Graduate,Yes,9600000,22900000,8,515,4300000,14700000,33300000,7800000,Rejected,1,0.837,261178.15
1213,4,Graduate,No,1300000,3600000,10,657,3200000,1900000,2900000,1100000,Approved,0,0.1676,13088.07
1214,3,Not Graduate,No,2400000,9300000,2,682,3100000,4400000,5200000,1500000,Approved,0,0.2285,7453.72
1215,0,Graduate,No,600000,1600000,10,588,1600000,100000,1100000,300000,Approved,0,0.3408,8607.5
